	0	match_cnt	entry_id	3	class	QID	definition
0	0	4	E1_39	https://www.wikidata.org/wiki/Q106812	1	1	Aasen [ åsen ], Ivar Andreas, norsk språkforskare, föddes i byn Örsten på Söndmöre d. 5 Aug. 1813. Vid 18 års ålder blef han ambulatorisk folkskolelärare i sin födelsebygd och verkade några år i denna befattning. Derefter kom han till en prest, af hvilken han fick undervisning i de vanliga skolämnena och tog sedermera plats som informator. Han vinnlade sig då ifrigt om studiet af botaniken och utarbetade
1	0	4	E2_51	https://www.wikidata.org/wiki/Q106812		1	Aasen [ åsen ], Ivar Andreas, norsk språkforskare, föddes på gården Aasen i Söndmöre 5 aug. 1813. Först vid aderton års ålder, då han blef skollärare i hemsocknen, fick han tillfälle att stilla sin kunskapstörst. Efter undervisning af prästen H. C. Thoresen ( Magdalene Th : s man ) samt studier på egen hand i botanik och moderna språk beslöt han att undersöka och behandla sin hembygds dialekt
2	0	4	E3_60	https://www.wikidata.org/wiki/Q106812		1	Aasen [ å - ], Ivar Andreas, norsk språkforskare ( 1813 5 / 8 — 96 23 / 9 ), bondson och f. på gården Aasen i örsta socken, Söndmör. Till en början skollärare i sin hemsocken, blev A.
3	0	4	E4_50	https://www.wikidata.org/wiki/Q106812		1	Aasen [ å - ], Ivar Andreas, norsk språkforskare ( 1813 — 96 ), bondson och f. på gården Aasen i örsta socken, Söndmöre. Till en början skollärare i sin hemsocken, blev A. genom understöd från Viden - skapers selskab i Trondhjem 1842 — 47 satt i tillfälle att under resor genom nästan hela Norge insamla språkmaterial från skilda trakter. Sedan slog han sig ned i Kristiania för
4	1	4	E1_137	https://www.wikidata.org/wiki/Q27932	1	1	Abel, konung i Danmark 1250 - 52, Valdemar Seiers näst äldste son med Bengerd, föddes omkr. 1218. A., som redan 1232 blifvit af Valdemar utnämnd till hertig i Sönderjylland ( sedermera hertigdömet Slesvig ), gifte sig 1237 mot faderns vilja med Mechtild, dotter af konungens gamle fiende grefve Adolf IV af Holstein. Derigenom kom han i fientligt förhållande till sin länsherre och äldre
5	1	4	E2_203	https://www.wikidata.org/wiki/Q27932		1	Abel, konung i Danmark 1250 - 52, Valdemar Seirs näst äldste son med Berengaria, f. 1218. blef 1232 utnämnd till hertig i Sönderjylland och öfvertog sitt län 1237 samt gifte sig med Mechtild, dotter till grefve Adolf IV af Holstein. Strax efter faderns död ( 1241 ) kom han i tvist med sin äldre broder, konung Erik Plogpenning, och brytningen blef än svårare, då han
6	1	4	E3_158	https://www.wikidata.org/wiki/Q27932		1	Abel, dansk konung ( 1218 — 52 ), den andre av Valdemar Sejrs söner. Då hans broder Erik kröntes till tronföljare, fick A. Sönder - jylland till län men kom snart i ett spänt förhållande till brodern och vägrade, då denne tillträtt regeringen, att erkänna honom som länsherre. Efter flerårig osämja och strid tvangs A. till en ganska förödmjukande underkastelse 1250. Då kung Erik s. å. gästade A. på
7	1	4	E4_154	https://www.wikidata.org/wiki/Q27932		1	Abel, dansk konung ( 1218 — 52 ), den andre av Valdemar Sejrs söner. Då hans broder Erik kröntes till tronföljare, fick A. Sönderjylland till län men kom snart i ett spänt förhållande till brodern. Erik dräptes 1250, och A. har av traditionen utpekats som upphovsman till dådet, men han svor sig fri och blev vald till konung. Han visade icke obetydlig statsmannabegåvning, hävdade statens makt och främjade dess
8	2	4	E1_272	https://www.wikidata.org/wiki/Q174178	1	1	Abt, Franz, tysk sångkompositör, född 1819 i Eilenburg, sedan 1852 hofkapellmästare i Braunschweig. Hans kompositioner äro i allmänhet utmärkta för melodi - rikedom och behaglig harmoni, men urarta ej sällan till en veklig känslosamhet.
9	2	4	E2_447	https://www.wikidata.org/wiki/Q174178		1	Abt, Franz, tysk sångkompositör, f. 1819 i Eilenburg, blef 1852 hofkapellmästare i Braunschweig och dog 1885 i Wiesbaden. Hans kompositioner äro i allmänhet utmärkta för melodi - rikedom och behaglig harmoni, men urarta ej sällan till en veklig känslosamhet. Några af hans sånger hafva blifvit verkliga folkvisor. I Sverige är han mest känd genom sina manskvartetter. A. L.
